domain,submission_url,contact_email,language,score,monthly_posting_activity,suggested_pitch_angle,notes
medias24.com,https://medias24.com/contributions/tribune/,https://medias24.com/nous-contacter/,FR,8.6,high (daily),"Tribune data-driven sur la digitalisation des PME, appuyée sur notre page stats web Maroc 2026","Média économique n°1 au Maroc. Section Tribune active. Non concurrent. Audience = décideurs/PME. Bot bloque WebFetch (403) mais site notoirement actif — vérifier email exact sur page contact avant envoi."
challenge.ma,https://www.challenge.ma/category/tribune/,contact@newpublicity.ma,FR,8.1,high (daily),"Tribune experte : le web marocain en chiffres 2026 pour décideurs","Magazine éco pour décideurs. Tribune ouverte aux contributeurs experts externes (bylines à astérisque). Éditeur New Publicity, tél +212 5 22 54 81 53. VÉRIFIÉ 2026-07-12 : articles du 02/07/2026 dont 'PME marocaines: Small is NOT Beautiful'."
lebrief.ma,https://www.lebrief.ma/rubrique-tribune/,https://www.lebrief.ma/contact/,FR,8.1,high (daily),"Tribune analyse : maturité numérique du Maroc 2026 (données ANRT/CMI)","Média d'analyse récent et crédible. Rubrique Tribune. Non concurrent. Confirmer route de soumission."
lavieeco.com,https://www.lavieeco.com/,contact via site,FR,7.6,high (daily),"Contribution éco : ce que les stats web 2026 changent pour les PME marocaines","Hebdo économique historique (1957). Audience PME/dirigeants. Trouver page contact/rédaction pour tribune."
startupmedias.net,https://startupmedias.net/category/Tribunetech,contact via site,FR,7.5,medium,"Tribune tech : les startups marocaines face au mobile-first (données e-commerce 2025)","Média startup francophone Afrique. Section Tribune tech. Audience = fondateurs (clients potentiels). Bot 403 — chercher formulaire/contact sur le site."
telquel.ma,https://telquel.ma/categorie/opinions/trblib,contact via site,FR,7.4,high (weekly+),"Tribune libre : le Maroc a franchi le cap numérique — et maintenant ?","Magazine à forte notoriété. Section Tribune libre pour contributeurs externes. Audience généraliste/CSP+. Bot 403."
dev.to,https://dev.to/new,profile-based (open),EN,7.2,open/instant,"Republier la version EN de l'article stats + article Next.js perf pour dev bloggers","Communauté dev mondiale, publication libre par profil (toujours acceptée). Idéal pour l'asset EN et le futur article Next.js. Mettre canonical vers moudevpro.com."
hashnode.com,https://hashnode.com/,profile-based (open),EN,7.0,open/instant,"Cross-post technique (Next.js/perf) avec canonical vers le blog MouDevPro","Plateforme dev, publication libre. Bon pour autorité de domaine + referral. Canonical obligatoire."
hookeddigital.net,https://hookeddigital.net/contact/,contact@hookeddigital.net,FR,6.6,high (May–Jun 2026),"Échange de tribunes / co-contenu data (non concurrentiel : data vs services)","Blog agence actif, contenu de qualité. CONCURRENT — faible probabilité de guest post direct ; angle = partage de données, pas d'auto-promo."
webexag.com,https://www.webexag.com/contactez-nous/,via contact page + 0663131333,FR,6.5,high (Jun 2026),"Data partagée sur le e-commerce Maroc (angle non concurrentiel)","Blog agence Casablanca actif. CONCURRENT. Reachability haute (tel + page contact). Guest post improbable ; garder comme contact réseau."
souikaweb.com,https://souikaweb.com/contact-agence-digitale-maroc/,contact@souikaweb.com,FR,6.1,active (Oct 2025),"Contribution data/SEO (non concurrentiel)","Blog agence, contenu correct. CONCURRENT, autorité faible. Email direct dispo."
masterlys.ma,https://www.masterlys.ma/contactez-nous,via contact page,FR,5.9,active (Mar 2026),"Contribution data marketing digital Maroc","Blog agence Rabat/Casa. CONCURRENT, autorité faible. Pas d'email public — passer par formulaire."
