prompt,cited_page_url,publisher,listing_type,contact_route,action_or_draft,priority
"best web developer Morocco / meilleure agence web Casablanca",https://clutch.co/ma/web-developers,Clutch,"free (verified profile; sponsorship optional)",self-register at clutch.co (Get Listed),"Créer un profil gratuit. Clutch pondère fortement les avis clients vérifiés — obtenir 1 à 2 avis de clients réels. LLMs citent Clutch massivement.",1
"top agences web Maroc / création site web",https://www.sortlist.com/web-development/morocco-ma,Sortlist,"free profile (+ paid leads)",self-register (rejoindre en tant qu'agence),"Créer le profil agence gratuit, catégories web + e-commerce, villes Casa/Rabat/Marrakech. Très cité par les LLMs pour le Maroc.",1
"top web development companies Morocco",https://techbehemoths.com/companies/web-development/morocco,TechBehemoths,free,self-register (Add your company),"Ajout d'entreprise gratuit + vérification. Directory neutre bien indexé et cité.",1
"best web development companies Morocco",https://www.goodfirms.co/directory/country/top-website-development-companies/morocco,GoodFirms,"free profile + reviews",self-register (Get Listed),"Profil gratuit, remplir services/portfolio. Demander quelques avis pour le classement.",2
"best web developers Morocco",https://themanifest.com/ma/web-development/companies,The Manifest,"free (alimenté depuis Clutch)",via Clutch,"Pas d'inscription directe : se lister sur Clutch → apparition automatique sur The Manifest (même groupe).",2
"meilleures agences e-commerce Maroc",https://www.sortlist.com/ecommerce/morocco-ma,Sortlist,free,self-register,"Même profil Sortlist, activer la catégorie e-commerce. Cible les requêtes boutique en ligne.",2
"the 10 best web development firms Morocco",https://www.sortlist.com/web-development/morocco-ma,Sortlist,free,self-register,"Page EN de Sortlist — le profil unique couvre FR + EN.",2
"8 meilleures agences web Casablanca 2026",https://twicebox.com/en/top-8-web-agencies-casablanca-2026/,Twice Box (agence),editorial (concurrent),email/contact Twice Box,"Liste éditoriale écrite par une agence qui se classe n°1 — faible probabilité d'ajout d'un concurrent. Pitch possible mais priorité basse.",3
"classement agences création site web Maroc",https://www.developpeur-informatique.ma/top-8-des-agences-web-au-maroc/,developpeur-informatique.ma (agence),editorial (concurrent),formulaire/contact du site,"Liste éditoriale d'une agence concurrente. Pitch possible, faible probabilité.",3
"top 10 web design & development companies Morocco",https://listaaj.com/blog/top-10-best-web-design-development-companies-in-morocco,Listaaj (AAMAX),paid (guest post / link insertion),order via listaaj,"Modèle payant (AAMAX se classe n°1 et vend l'insertion de liens). À éviter sauf budget backlink payant assumé.",3
